epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5971.22,0.82474,0.77905,1.04319,0.81997,0.86206,0.86428,0.71094,0.64547,0.70312,0.97404,0.00104231,0.00104231,0.00104231
43,6112.27,0.82369,0.83942,1.05128,0.84418,0.84701,0.8731,0.70484,0.63289,0.69992,0.97985,0.00103288,0.00103288,0.00103288
44,6253.35,0.81289,0.78254,1.04129,0.80148,0.88916,0.88258,0.71211,0.64319,0.70998,0.96661,0.00102345,0.00102345,0.00102345
45,6394.72,0.76958,0.77053,1.03229,0.84896,0.82844,0.85975,0.69114,0.64101,0.71292,0.9736,0.00101402,0.00101402,0.00101402
46,6535.75,0.82654,0.78251,1.04765,0.86778,0.89191,0.90153,0.73186,0.63047,0.65685,0.96495,0.00100459,0.00100459,0.00100459
47,6676.66,0.81947,0.78488,1.03731,0.84484,0.86211,0.89868,0.74661,0.58701,0.60632,0.94968,0.000995156,0.000995156,0.000995156
48,6817.52,0.78745,0.7319,1.03219,0.78002,0.85702,0.86731,0.71225,0.61173,0.71572,0.97513,0.000985724,0.000985724,0.000985724
49,6959.05,0.86402,0.78395,1.07136,0.89878,0.78222,0.86901,0.72058,0.59132,0.68206,0.95012,0.000976293,0.000976293,0.000976293
50,7099.97,0.81401,0.72799,1.04435,0.87719,0.86262,0.86827,0.70804,0.62565,0.68283,0.98244,0.000966861,0.000966861,0.000966861
51,7241.04,0.8018,0.73008,1.0325,0.83297,0.82915,0.84943,0.69276,0.61049,0.71778,0.98058,0.00095743,0.00095743,0.00095743
52,7382.25,0.8459,0.76206,1.05965,0.8447,0.86267,0.87729,0.71463,0.60875,0.63871,0.95891,0.000947999,0.000947999,0.000947999
53,7523.4,0.79272,0.72014,1.0301,0.86475,0.84932,0.87159,0.7068,0.63692,0.64025,0.97334,0.000938567,0.000938567,0.000938567
54,7664.76,0.82846,0.73972,1.04707,0.80871,0.84839,0.83406,0.6745,0.65955,0.72063,0.97169,0.000929136,0.000929136,0.000929136
55,7805.85,0.81044,0.73684,1.04238,0.8613,0.83237,0.87987,0.71588,0.63012,0.6513,0.97081,0.000919704,0.000919704,0.000919704
56,7946.92,0.82287,0.72529,1.04577,0.82765,0.90994,0.88637,0.73946,0.57556,0.60842,0.94067,0.000910273,0.000910273,0.000910273
57,8088.11,0.79552,0.71701,1.04176,0.88327,0.86377,0.8931,0.73545,0.62229,0.62866,0.96028,0.000900842,0.000900842,0.000900842
58,8229.25,0.77615,0.77127,1.01132,0.89249,0.78617,0.88242,0.72283,0.60907,0.63243,0.9554,0.00089141,0.00089141,0.00089141
59,8370.28,0.77447,0.71655,1.01639,0.86791,0.84822,0.8939,0.74146,0.58455,0.61681,0.93893,0.000881979,0.000881979,0.000881979
60,8511.2,0.77892,0.70756,1.02367,0.85204,0.84176,0.86575,0.71178,0.61769,0.66491,0.94852,0.000872547,0.000872547,0.000872547
61,8655.74,0.76833,0.69954,1.02741,0.8362,0.80301,0.85039,0.70741,0.58579,0.68775,0.93808,0.000863116,0.000863116,0.000863116
62,8799.78,0.75059,0.64632,1.00293,0.89619,0.77348,0.86978,0.71681,0.55978,0.67081,0.94259,0.000853685,0.000853685,0.000853685
63,8943.96,0.77912,0.7251,1.01471,0.86616,0.85376,0.87442,0.71566,0.58399,0.63654,0.94432,0.000844253,0.000844253,0.000844253
64,9088.21,0.73893,0.68454,1.00606,0.84525,0.82937,0.85742,0.6971,0.60108,0.63541,0.96442,0.000834822,0.000834822,0.000834822
65,9232.4,0.76937,0.68688,1.01323,0.87858,0.84879,0.86045,0.69223,0.637,0.61938,0.97954,0.00082539,0.00082539,0.00082539
66,9376.6,0.74349,0.65512,1.00077,0.84794,0.86286,0.87688,0.72279,0.61065,0.63975,0.95803,0.000815959,0.000815959,0.000815959
67,9520.66,0.7387,0.64322,1.00307,0.86156,0.8391,0.85126,0.6992,0.61143,0.6901,0.97852,0.000806528,0.000806528,0.000806528
68,9664.95,0.76431,0.68074,1.0174,0.87782,0.85899,0.87907,0.71925,0.61878,0.62493,0.98139,0.000797096,0.000797096,0.000797096
69,9809.11,0.74838,0.65384,1.00216,0.85112,0.84953,0.88255,0.72426,0.59337,0.63449,0.96064,0.000787665,0.000787665,0.000787665
70,9953.65,0.76569,0.65198,1.01164,0.83036,0.87603,0.87187,0.70154,0.61919,0.66762,0.97152,0.000778233,0.000778233,0.000778233
