epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.838,1.29786,2.20484,1.40024,0.41964,0.50876,0.44004,0.2639,1.30041,15.1168,1.4007,0.000541044,0.000541044,0.000541044
2,565.034,1.27961,2.05247,1.39461,0.49515,0.30938,0.32007,0.15691,1.55897,4.14765,1.87489,0.00108947,0.00108947,0.00108947
3,830.313,1.35566,2.02502,1.44736,0.02126,0.27081,0.02263,0.01061,1.56886,75.4223,2.04166,0.00163057,0.00163057,0.00163057
4,1109.41,1.4664,2.19575,1.48697,0.13098,0.46025,0.15582,0.08046,1.73358,30.6128,2.43717,0.00163399,0.00163399,0.00163399
5,1387.35,1.39748,1.87729,1.534,0.08067,0.54783,0.06261,0.03069,1.79148,36.4274,2.34567,0.00162299,0.00162299,0.00162299
6,1655.05,1.36051,1.86516,1.50902,0.52412,0.42657,0.40966,0.24677,1.34373,4.37844,1.68347,0.00161199,0.00161199,0.00161199
7,1922.06,1.29498,1.50443,1.41482,0.47596,0.43903,0.29776,0.16909,1.47222,5.66616,1.68593,0.00160099,0.00160099,0.00160099
8,2185.25,1.33604,1.42154,1.43055,0.57918,0.50842,0.47333,0.30809,1.41822,2.58592,1.7272,0.00158998,0.00158998,0.00158998
9,2452.21,1.29283,1.3694,1.44252,0.64897,0.65451,0.71358,0.47306,1.19225,2.33571,1.38463,0.00157898,0.00157898,0.00157898
10,2715.39,1.24922,1.33918,1.37891,0.69352,0.68678,0.78749,0.52471,1.21796,1.83361,1.41967,0.00156798,0.00156798,0.00156798
11,273.217,1.83851,2.1479,1.9163,0.00068,0.04755,0.00032,4e-05,4.7816,4481.59,54.5474,0.00155698,0.00155698,0.00155698
12,546.672,1.51305,1.77905,1.62628,0.00943,0.17226,0.00574,0.00246,2.78794,50.3817,3.25247,0.00154598,0.00154598,0.00154598
13,814.848,1.3647,1.50525,1.56099,0.34374,0.28716,0.24678,0.14205,1.89835,3.08885,2.20845,0.00153497,0.00153497,0.00153497
14,1080.13,1.31642,1.36735,1.53145,0.42531,0.47752,0.35348,0.20996,1.60263,2.63618,1.90413,0.00152397,0.00152397,0.00152397
15,1345.85,1.27758,1.30971,1.46427,0.59864,0.5501,0.57534,0.33315,1.55128,2.17984,1.80658,0.00151297,0.00151297,0.00151297
16,1610.94,1.26522,1.28005,1.47611,0.65591,0.65238,0.68991,0.43898,1.30591,1.72076,1.54782,0.00150197,0.00150197,0.00150197
17,1877.19,1.22566,1.16458,1.3759,0.45756,0.72871,0.45762,0.31341,1.36269,16.1284,1.5735,0.00149096,0.00149096,0.00149096
18,2142.49,1.22418,1.08383,1.40226,0.77043,0.74975,0.82295,0.55058,1.28392,1.07805,1.47392,0.00147996,0.00147996,0.00147996
